Date,datetime,Open,High,Low,Close
1985-03-25,1985-03-25,12526.09,12535.1,12479.03,12493.26
1985-03-26,1985-03-26,12473.34,12486.15,12448.1,12486.15
1985-03-27,1985-03-27,12484.46,12551.77,12483.5,12550.82
1985-03-28,1985-03-28,12595.35,12611.17,12575.9,12604.02
1985-03-29,1985-03-29,12613.27,12622.62,12567.32,12580.76
1985-03-30,1985-03-30,12568.65,12591.82,12551.87,12590.2
1985-04-01,1985-04-01,12609.94,12677.15,12600.97,12677.15
1985-04-02,1985-04-02,12678.49,12680.87,12608.41,12629.86
1985-04-03,1985-04-03,12624.05,12683.26,12621.38,12683.26
1985-04-04,1985-04-04,12682.21,12689.74,12614.99,12627.1
1985-04-05,1985-04-05,12637.11,12643.78,12523.55,12544.24
1985-04-06,1985-04-06,12520.98,12571.13,12520.4,12569.98
1985-04-08,1985-04-08,12589.15,12635.96,12572.27,12635.96
1985-04-09,1985-04-09,12642.35,12646.64,12607.65,12630.43
1985-04-10,1985-04-10,12642.73,12650.65,12581.71,12601.93
1985-04-11,1985-04-11,12620.61,12630.43,12567.51,12573.8
1985-04-12,1985-04-12,12580.09,12592.68,12558.64,12588.01
1985-04-15,1985-04-15,12597.16,12618.99,12552.73,12552.73
1985-04-16,1985-04-16,12522.98,12538.62,12146.93,12207.28
1985-04-17,1985-04-17,12163.9,12306.06,12163.9,12302.06
1985-04-18,1985-04-18,12293.38,12293.38,12022.79,12052.82
1985-04-19,1985-04-19,12040.9,12152.84,11996.0,12114.8
1985-04-20,1985-04-20,12164.28,12238.94,12136.92,12232.07
1985-04-22,1985-04-22,12267.73,12278.32,12172.29,12179.92
1985-04-23,1985-04-23,12167.33,12174.87,12103.07,12124.14
1985-04-24,1985-04-24,12159.9,12217.77,12147.6,12217.77
1985-04-25,1985-04-25,12249.0,12333.97,12240.31,12333.87
1985-04-26,1985-04-26,12378.37,12407.1,12359.18,12405.1
1985-04-27,1985-04-27,12435.08,12480.81,12428.3,12465.92
1985-04-30,1985-04-30,12438.9,12443.19,12385.34,12426.29
1985-05-01,1985-05-01,12441.28,12456.65,12432.79,12456.65
1985-05-02,1985-05-02,12429.44,12451.79,12409.68,12451.79
